Time inv,EXP m = 3 inv,VAR m = 3 inv,EXP m = 5 inv,VAR m = 5 inv,EXP m = 8 inv,VAR m = 8 inv,Time sim,EXP m = 3 sim,VAR m = 3 sim,EXP m = 5 sim,VAR m = 5 sim,EXP m = 8 sim,VAR m = 8 sim
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1,0.42363674090214865,2.2726211754203063,0.5619922630124137,3.7004698079382496,0.7843126882825331,5.746013982950866,0.1,0.4325378780822043,2.4221616922859583,0.5549171838261417,3.6119265293175276,0.8058662756922895,5.999473366185377
0.2,0.702346479565584,4.3144520117482275,0.974844440268388,6.916216610180346,1.3838933936743771,10.54466738766924,0.2,0.7116424630464544,4.475589556364291,0.964413339870404,6.852966867634702,1.4025771600399697,10.676327015309164
0.30000000000000004,0.949886299700271,6.168373675637536,1.3389652990140135,9.7706080300003,1.895147418229982,14.736071409350044,0.30000000000000004,0.9617115847019748,6.3042359227479405,1.3239204039546695,9.651942809799477,1.905448547771897,14.812058333140163
0.4,1.175627753700681,7.863845238478479,1.6649899951944676,12.347826854286712,2.341156544144482,18.5061023497359,0.4,1.1946937607788213,8.134318857801558,1.6483418579567053,12.259849663569806,2.3251217013611716,18.232292284113747
0.5,1.3835782170894078,9.424529855071206,1.9598309806990528,14.706148942534398,2.7372408876595813,21.96150716116478,0.5,1.4084579023852393,9.679687629975868,1.9555411886063443,14.77911553589685,2.7218326460236795,21.667631081665238
0.6000000000000001,1.5762604398369078,10.869632928785125,2.228691736644997,16.886348971519777,3.093903351317678,25.167916401380346,0.6000000000000001,1.6124117707866215,11.181468994501465,2.220484520793842,16.98134150338174,3.0896181939477105,24.91927779103808
0.7000000000000001,1.755563748753083,12.214736023368564,2.4756049611879263,18.917625398190047,3.4185701076709876,28.168482739077533,0.7000000000000001,1.8002948426319776,12.59471155273192,2.4622488932530886,19.001568607519538,3.4206260384516756,27.982641752518262
0.8,1.9230151832590536,13.472486979347519,2.703740515792447,20.821477242587953,3.716656799314123,30.99332407218173,0.8,1.9750112835940383,13.935781808263005,2.6849723465419895,20.801468368993596,3.7186432320664364,30.712154476711273
0.9,2.079891185930073,14.653189914722242,2.91562159871566,22.6141918118739,3.992228672038877,33.664547510796,0.9,2.131485155338074,15.042347681824717,2.8885514072803997,22.482055086857198,3.99515480774342,33.329924009051496
1.0,2.227275972608851,15.765297043394746,3.113282206464504,24.308446607643305,4.248417550792823,36.19906764686379,1.0,2.270031897685864,16.033654439399438,3.0747282259381,23.874999521116987,4.255272638570816,36.10795452214444
1.1,2.3660989022112915,16.81580576481403,3.298382629393757,25.914356113507807,4.487691944431262,38.610270997598576,1.1,2.39886444942697,16.91012068107231,3.2514238438399303,25.415217827254292,4.5018691585140855,38.54122139233993
1.2000000000000002,2.497161833619913,17.810571004012132,3.4722945791696986,27.44016993723811,4.712036732451793,40.90904714948782,1.2000000000000002,2.530600853050789,17.826764176503566,3.42942642891054,26.931237293558738,4.727785233266868,40.82500495979498
1.3,2.6211605845698642,18.754546530776135,3.6361643848981373,28.89274911767084,4.923075863738944,43.104456026509,1.3,2.6535118856067412,18.783941731366635,3.601635618233343,28.432848758946903,4.94051870057061,42.95583370361016
1.4000000000000001,2.7387022623691024,19.651969543651546,3.7909603383617707,30.27789849529953,5.122158250651495,45.204176790401206,1.4000000000000001,2.767852574086357,19.69966445705238,3.7637181882152224,29.81972442778606,5.144684534994621,45.16123541848752
1.5,2.8503194090119166,20.506501441951748,3.9375085267825796,31.600603575462067,5.310419284956652,47.214820619853896,1.5,2.8778244969184277,20.54664772931238,3.9078137510103734,31.04443718486467,5.340830209847306,47.26632124626842
1.6,2.9564815849219315,21.321335500071996,4.076520237137288,32.86520255779918,5.488825846596569,49.142155170424445,1.6,2.9869258649982475,21.330153554805417,4.046379748483093,32.30816615287975,5.52919507874284,49.40008377515354
1.7000000000000002,3.0576048714896444,22.099279869823548,4.208613128225636,34.0755134357764,5.658209849277512,50.99127014593581,1.7000000000000002,3.0941527904605333,22.18644546911467,4.1830906290980305,33.576331479724026,5.710953406910556,51.42879355118326
1.8,3.154059685710294,22.84282227976798,4.334327748428635,35.23492938194781,5.8192937068261585,52.7667016622088,1.8,3.197608546658467,23.004856985554486,4.3127940892625505,34.75379502872484,5.86844283470046,53.07214929535291
1.9000000000000001,3.246177227591886,23.554181150897083,4.45414054233855,36.34649143218313,5.972709928615529,54.472527933660054,1.9000000000000001,3.2925736430502193,23.754274134060378,4.433690160403319,35.86008185329099,6.021227688126034,54.91437149676768
2.0,3.334254828127442,24.23534654626102,4.568474185290896,37.41294469740353,6.119016436421191,56.11244351297424,2.0,3.3860913151408254,24.41707854122003,4.54451996230087,36.8703079957029,6.172903871963287,56.53543375038342
2.1,3.4185604096590936,24.8881134360063,4.677705864490704,38.43678251821464,6.258708682395422,57.68981766319762,2.1,3.47491767705834,25.142227285388035,4.653660333371259,37.94485613831485,6.3130530556509,58.181607996349456
2.2,3.499336232711613,25.514109038609135,4.78217397469956,39.42028165655346,6.392229310765572,59.2077413187419,2.2,3.5579950987529405,25.747637863597774,4.764487048423659,39.03918595314114,6.4495440393768835,59.852882733154715
2.3000000000000003,3.5768020627496497,26.114815558561993,4.882183576439417,40.36553080298319,6.519975975658696,60.669064609604185,2.3000000000000003,3.6349603911083492,26.38709287107116,4.860677259673957,39.95309651005873,6.5842326293874285,61.33837847680825
