u,True Values,Asymptotic Values,Simulated Values
0.0,1.0,0.0,1.0
0.06,0.9999999999999997,2.4884772960116993e-17,1.0
0.12,0.99999999999999,1.1999025459268864e-14,1.0
0.18,0.9999999999998599,4.3441982608454347e-13,1.0
0.24,0.999999999998846,5.4487966210636975e-12,1.0
0.3,0.9999999999934064,3.823253071629616e-11,1.0
0.36,0.9999999999710791,1.8578326526714095e-10,1.0
0.42,0.9999999998959982,7.005998328896454e-10,1.0
0.48,0.9999999996793913,2.194521718483968e-09,1.0
0.54,0.9999999991257581,5.965610800951097e-09,1.0
0.6,0.9999999978426874,1.4501557953231692e-08,1.0
0.6599999999999999,0.9999999950996393,3.2202616497778106e-08,1.0
0.72,0.9999999896186353,6.636369201001405e-08,1.0
0.78,0.999999979277844,1.2844932504284293e-07,1.0
0.84,0.9999999607076233,2.356873687875081e-07,1.0
0.8999999999999999,0.9999999287577583,4.1299771558669925e-07,1.0
0.96,0.9999998758145053,6.952619992861444e-07,0.999995
1.02,0.9999997909465805,1.129929305522383e-06,1.0
1.08,0.9999996588604593,1.7799420255219959e-06,1.0
1.14,0.9999994586472214,2.7269554995712944e-06,0.999995
1.2,0.9999991623056306,4.074815358067418e-06,1.0
1.26,0.9999987330291238,5.953247757801252e-06,0.99999
1.3199999999999998,0.9999981232478086,8.521710239232525e-06,1.0
1.38,0.9999972724203445,1.1973344844179376e-05,1.0
1.44,0.9999961045746201,1.6538970521450027e-05,0.999995
1.5,0.9999945256003364,2.24910487470779e-05,0.999995
1.56,0.9999924203008859,3.0147554686841748e-05,0.999995
1.6199999999999999,0.9999896492161499,3.987568608361199e-05,0.999995
1.68,0.9999860452320072,5.209534328057736e-05,0.99999
1.74,0.999981409996288,6.72823162877725e-05,0.99999
1.7999999999999998,0.999975510164642,8.597111843826127e-05,0.99996
1.8599999999999999,0.9999680735031791,0.00010875741082268536,0.99998
1.92,0.9999587848777898,0.00013629996718873504,0.999965
1.98,0.9999472821626972,0.00016932213519322363,0.999955
2.04,0.9999331521029812,0.00020861275664622162,0.999945
2.1,0.999915926167588,0.00025502651653943264,0.999925
2.16,0.9998950764305944,0.00030948369806062584,0.99988
2.2199999999999998,0.9998700115193196,0.00037296932832633353,0.999885
2.28,0.9998400726681964,0.00044653170708965463,0.99984
2.34,0.9998045299171927,0.0005312803180832729,0.999845
2.4,0.9997625784929929,0.000628383129835957,0.999775
2.46,0.999713335410155,0.0007390632996624022,0.99973
2.52,0.9996558363280543,0.00086459530099254,0.99968
2.58,0.9995890326976645,0.0010063005002111352,0.999605
2.6399999999999997,0.9995117892301226,0.0011655422146677043,0.99952
2.6999999999999997,0.9994228817166317,0.00134372028844855,0.99939
2.76,0.9993209952265838,0.0015422652268462815,0.99928
2.82,0.9992047227079178,0.0017626319341976088,0.99913
2.88,0.9990725640106476,0.002006293102877101,0.999135
2.94,0.9989229253512948,0.0022747323037319066,0.99899
3.0,0.9987541192326368,0.002569436830126917,0.998875
3.06,0.9985643648297996,0.0028918903490556874,0.998675
3.12,0.9983517888503047,0.00324356541348,0.99836
3.1799999999999997,0.9981144268722593,0.0036259158902161065,0.998185
3.2399999999999998,0.9978502251614997,0.004040369357318866,0.997965
3.3,0.9975570429651719,0.004488319524060293,0.99763
3.36,0.997232655276006,0.004971118725293651,0.997385
3.42,0.9968747560584303,0.0054900705402774,0.996915
3.48,0.9964809619246867,0.006046422583945894,0.996655
3.54,0.9960488162463026,0.006641359516197714,0.996145
3.5999999999999996,0.9955757936836249,0.007275996312069596,0.995615
3.6599999999999997,0.9950593051136793,0.007951371832716521,0.99509
3.7199999999999998,0.9944967029343544,0.00866844273396753,0.994425
3.78,0.9938852867208937,0.009428077745912838,0.993995
3.84,0.9932223092088376,0.010231052353539504,0.992875
3.9,0.9925049825759797,0.011078043904907589,0.99286
3.96,0.991730484994523,0.011969627169781897,0.99214
4.02,0.9908959674234772,0.012906270368038862,0.990885
4.08,0.9899985606104325,0.013888331683585525,0.989735
4.14,0.9890353822711307,0.014916056275985372,0.9892
4.2,0.9880035444147943,0.015989573798512093,0.98812
4.26,0.9869001607828914,0.01710889642796784,0.98686
4.32,0.9857223543689628,0.01827391740833222,0.98554
4.38,0.9844672649872551,0.01948441010716662,0.98435
4.4399999999999995,0.9831320568582332,0.020740027580705922,0.983095
4.5,0.9817139261795252,0.02204030264073604,0.98173
4.56,0.9802101086515183,0.023384648413696037,0.97966
4.62,0.9786178869276189,0.0247723593799652,0.97901
4.68,0.9769345979601519,0.02620261287900507,0.977345
4.74,0.9751576402139404,0.0276744710639325,0.975345
4.8,0.9732844807207975,0.029186883287200354,0.973715
4.859999999999999,0.9713126619494674,0.03073868889736552,0.9717
4.92,0.9692398084669178,0.03232862042542283,0.969335
4.9799999999999995,0.9670636333683728,0.03395530713788244,0.96692
5.04,0.9647819444549784,0.03561727893266094,0.96441
5.1,0.9623926501395955,0.037312970552939084,0.96296
5.16,0.9598937650628276,0.039040726093409264,0.95984
5.22,0.9572834154030504,0.04079880377278259,0.957585
5.279999999999999,0.9545598438658879,0.04258538094604763,0.954665
5.34,0.9517214143402619,0.044398559329757295,0.9521
5.3999999999999995,0.9487666162098332,0.04623637041356251,0.94823
5.46,0.9456940683103274,0.04809678103130168,0.945965
5.52,0.9425025225249042,0.04997769906518202,0.942365
5.58,0.9391908670113562,0.0518769792569477,0.938205
5.64,0.9357581290565421,0.05379242910040558,0.93583
5.7,0.9322034775550077,0.05572181479026714,0.93335
5.76,0.9285262251102769,0.057662867202951336,0.92896
