Time,Path Value,Maximum Value
0.0,0.0,0.0
0.01,-0.1078231741784454,0.03356426756934581
0.02,-0.14837601023760746,0.03356426756934581
0.03,-0.3064326590290978,0.03356426756934581
0.04,-0.35032101779075736,0.03356426756934581
0.05,-0.3357093182794334,0.03356426756934581
0.06,-0.4098456219154577,0.03356426756934581
0.07,-0.3809603956025623,0.03356426756934581
0.08,-0.5253027195339386,0.03356426756934581
0.09,-0.6989809966230396,0.03356426756934581
0.1,-0.6930583699993692,0.03356426756934581
0.11,-0.862221540491894,0.03356426756934581
0.12,-1.0262995559468535,0.03356426756934581
0.13,-1.0335489886238551,0.03356426756934581
0.14,-1.1568392658553672,0.03356426756934581
0.15,-1.1991227866217022,0.03356426756934581
0.16,-1.2491246562652012,0.03356426756934581
0.17,-1.140535214451053,0.03356426756934581
0.18,-1.1609981470487953,0.03356426756934581
0.19,-1.2458538318568764,0.03356426756934581
0.2,-1.2067175692665428,0.03356426756934581
0.21,-1.2645524523298417,0.03356426756934581
0.22,-1.5095979438706906,0.03356426756934581
0.23,-1.603036548661313,0.03356426756934581
0.24,-1.714185203765876,0.03356426756934581
0.25,-1.735659926640002,0.03356426756934581
0.26,-1.6481657041377318,0.03356426756934581
0.27,-1.8344347142697672,0.03356426756934581
0.28,-1.8560552333759728,0.03356426756934581
0.29,-1.9009371167257296,0.03356426756934581
0.3,-1.8526320520779276,0.03356426756934581
0.31,-2.0131233886849573,0.03356426756934581
0.32,-2.065443601254321,0.03356426756934581
0.33,-2.152405531568605,0.03356426756934581
0.34,-2.2022070195005004,0.03356426756934581
0.35000000000000003,-2.2249073190911237,0.03356426756934581
0.36,-2.360448155780822,0.03356426756934581
0.37,-2.4224835749647626,0.03356426756934581
0.38,-2.452686836491475,0.03356426756934581
0.39,-2.519617344590301,0.03356426756934581
0.4,-2.5601218108154913,0.03356426756934581
0.41000000000000003,-2.769897728875023,0.03356426756934581
0.42,-3.014018439054593,0.03356426756934581
0.43,-3.0059702278511127,0.03356426756934581
0.44,-2.974596597411162,0.03356426756934581
0.45,-3.089954311332156,0.03356426756934581
0.46,-3.134009782019403,0.03356426756934581
0.47000000000000003,-3.2320474089988274,0.03356426756934581
0.48,-3.2483908550258866,0.03356426756934581
0.49,-3.441864934708092,0.03356426756934581
0.5,-3.412737676293082,0.03356426756934581
0.51,-3.445678653021029,0.03356426756934581
0.52,-3.4308988248828607,0.03356426756934581
0.53,-3.3961960273618823,0.03356426756934581
0.54,-3.4651691098593362,0.03356426756934581
0.55,-3.4049157825419765,0.03356426756934581
0.56,-3.4320084765274945,0.03356426756934581
0.5700000000000001,-3.522096169162534,0.03356426756934581
0.58,-3.604393005361556,0.03356426756934581
0.59,-3.5499876504588337,0.03356426756934581
0.6,-3.637685489306022,0.03356426756934581
0.61,-3.677107299620605,0.03356426756934581
0.62,-3.552698246414115,0.03356426756934581
0.63,-3.5116788326329895,0.03356426756934581
0.64,-3.4313597842597745,0.03356426756934581
0.65,-3.589923385048496,0.03356426756934581
0.66,-3.6741544179740813,0.03356426756934581
0.67,-3.7497296464014847,0.03356426756934581
0.68,-3.830240231885859,0.03356426756934581
0.6900000000000001,-3.9888946586385856,0.03356426756934581
0.7000000000000001,-4.1236551125734895,0.03356426756934581
0.71,-4.0944290349288455,0.03356426756934581
0.72,-4.095557738821233,0.03356426756934581
0.73,-4.046532594137548,0.03356426756934581
0.74,-3.975857943148606,0.03356426756934581
