Time inv,EXP m = 3 inv,VAR m = 3 inv,EXP m = 5 inv,VAR m = 5 inv,EXP m = 8 inv,VAR m = 8 inv,Time sim,EXP m = 3 sim,VAR m = 3 sim,EXP m = 5 sim,VAR m = 5 sim,EXP m = 8 sim,VAR m = 8 sim
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1,0.285725161217222,2.2603497062651403,0.4654107443187083,3.688139989365228,0.7206782318426654,5.731369740337531,0.1,0.29579844267478694,2.412779638753181,0.4582761240570839,3.5988055282835223,0.742809333542415,5.989226776114574
0.2,0.5455084380293727,4.277193243099768,0.8716398750588752,6.874763902428754,1.3165598232445745,10.502023340693516,0.2,0.556319627731104,4.442886431778674,0.861033752366816,6.804296016213407,1.3355408508058497,10.63354514285004
0.30000000000000004,0.7828134149738304,6.094735043377821,1.230754500148315,9.693438852716662,1.8238297078914485,14.66201783384258,0.30000000000000004,0.7965915312205748,6.239555680776875,1.2154172818581448,9.558603102464028,1.8349020003791798,14.741423875426984
0.4,1.0005313409055319,7.7468938190413175,1.5517585482098113,12.23199499583135,2.265754291675691,18.398624969412555,0.4,1.0206878787158251,8.01684859299201,1.5354849229798095,12.123846343245347,2.2500468596640504,18.11959007619139
0.5,1.201085086360834,9.259969660009748,1.8414830219062637,14.54971207850529,2.657769510542437,21.818989189418218,0.5,1.2271916462287977,9.52408214900403,1.8387110679822818,14.61638988007456,2.641531108772384,21.523020709779445
0.6000000000000001,1.3865199664255954,10.654558682067846,2.105170657955867,16.687667802503885,3.010420294750034,24.988907030940396,0.6000000000000001,1.4241202539224609,10.980317757919831,2.099010175929718,16.796622092428045,3.005456803234093,24.73993681019776
0.7000000000000001,1.558571730476345,11.946939836317245,2.3468857430016072,18.675155082791065,3.3311425132348944,27.951625161173475,0.7000000000000001,1.6052147502960847,12.33928135494395,2.334661302689271,18.757969291468616,3.330836079153882,27.749170090537262
0.8,1.7187184959242714,13.150106344152839,2.56981434609051,20.533699781469217,3.6253481354912935,30.73732322547683,0.8,1.7734968879409607,13.626896858247479,2.551811129755972,20.506774109485832,3.6251374923202913,30.43307053502415
0.9,1.8682226568046545,14.274542509019703,2.776485250709925,22.279596362405517,3.8970935698412177,33.3681489830056,0.9,1.924242153214868,14.688429813981882,2.750166130833355,22.159694692723402,3.897410729625261,33.02039443533306
1.0,2.0081658479042375,15.328808801360129,2.968931867960933,23.925529591199385,4.149500178610296,35.86104263606403,1.0,2.0544319465767042,15.615484190803972,2.9306410026301104,23.50371112373477,4.153801598722235,35.74130922980039
1.1,2.139478369044596,16.31998071255138,3.148810754904801,25.48163024406199,4.385025929524858,38.22940761392471,1.1,2.176554284791632,16.447416437049,3.101659407446628,24.984909081070082,4.396459903118746,38.15319639604327
1.2000000000000002,2.2629638461126476,17.253977022681255,3.317488640232739,26.956176174943792,4.605645796312416,40.48414827244268,1.2000000000000002,2.300182605137827,17.30803959045881,3.2725435798529223,26.441585464391967,4.618546607586328,40.38192633407149
1.3,2.3793197458449242,18.13580564342728,3.4761067325872546,28.356067500198975,4.812974817171352,42.634342638597715,1.3,2.4160416163798843,18.218936029190985,3.440512296948578,27.91886019554673,4.827274407990602,42.46467760541566
1.4000000000000001,2.489154334043846,18.969748774821728,3.6256286390395474,29.687155301334535,5.008354164695106,44.68769484252128,1.4000000000000001,2.5229841532047805,19.055831400465742,3.596700851143287,29.245826031325045,5.028058194525234,44.64150974751945
1.5,2.593000645063455,19.759503693180665,3.7668764093938023,30.954473669590215,5.19291273067023,46.65084894174008,1.5,2.625882843142497,19.846330138866016,3.7359001340146536,30.418007943943785,5.220685395905586,46.70008912513248
1.6,2.691327984931533,20.508291124023955,3.9005579237996244,32.1624069556148,5.367612102340416,48.529612353225104,1.6,2.727005229041159,20.5690137783263,3.869124435590703,31.632445960230484,5.405823695260814,48.77137840555655
1.7000000000000002,2.784551423286885,21.21893979820244,4.027287921319143,33.314812924448816,5.533280014206895,50.32911856651954,1.7000000000000002,2.8260597627092032,21.360850697702567,4.001025948414347,32.846370882700505,5.58436958615659,50.744328496162495
1.8,2.8730396580731394,21.89395331801815,4.147604322361687,34.41511548706535,5.690635639166402,52.053948107722015,1.8,2.9201462059128227,22.101687961232443,4.126474841747953,33.984218586617146,5.737728130747676,52.35134908923936
1.9000000000000001,2.957121565210585,22.5355636885463,4.261981039457282,35.46637610720368,5.84030899590644,53.70822023047443,1.9000000000000001,3.007508969715112,22.79955550128617,4.240235861146974,35.032764341818066,5.887479859195536,54.160256162560735
2.0,3.0370916849450253,23.145774623883845,4.370838145737835,36.471350010520396,5.982856043401597,55.29566382326883,2.0,3.0919025855663334,23.385892541283567,4.3454400480523905,35.975148183064064,6.034417063771928,55.72340725563469
2.1,3.113214843389841,23.72639687106172,4.474550037853362,37.43253134258026,6.11877057355656,56.81967331421714,2.1,3.1725649684676975,24.042669993403432,4.44917226843024,36.97582220214218,6.170128395161431,57.31077877246085
2.2,3.185730066318939,24.279077204140304,4.573452062896294,38.35219009738371,6.248493692956885,58.28335364449725,2.2,3.2466668308923343,24.580463335895274,4.5554207690214055,37.992500852983824,6.303950989729117,58.94462313649544
2.3000000000000003,3.2548539094761537,24.805322325814377,4.667845956610648,39.232402769157574,6.372421470542889,59.68955713864114,2.3000000000000003,3.3157647452791545,25.140780795135925,4.6477838875922775,38.86407835357973,6.4356053872273895,60.37134449014964
