u,Asymptotic Values,Numerical Inverse Values,Simulated Values
0.0,5.0,1,1.0
0.06,4.581537086590868,0.334329352056805,0.32845
0.12,4.218353493406553,0.327197651936388,0.3248
0.18,3.900739906348828,0.320499015086900,0.32235
0.24,3.621074637636591,0.314182926120235,0.31035
0.3,3.3733000742578048,0.308207269382446,0.31525
0.36,3.152547521002001,0.302536554619818,0.3023
0.42,2.9548639376643986,0.297140600396686,0.3015
0.48,2.7770099206986028,0.291993534318342,0.28795
0.54,2.616308324757728,0.287073020981374,0.291
0.6,2.470529422006546,0.282359653084518,0.2807
0.6599999999999999,2.337802788272087,0.277836467196185,0.2771
0.72,2.21654898739251,0.273488553904938,0.2739
0.78,2.105426092685004,0.269302741899672,0.27385
0.84,2.0032874477567546,0.265267339164390,0.2657
0.8999999999999999,1.9091480266052938,0.261371920405730,0.26045
0.96,1.8221574344023326,0.257607150565081,0.25935
1.02,1.741578081015574,0.253964637698194,0.25295
1.08,1.6667674165421549,0.250436809741267,0.25095
1.14,1.5971633808987462,0.247016810378632,0.24245
1.2,1.5322724146891864,0.243698410980243,0.2441
1.26,1.4716595248622553,0.240475935242204,0.23985
1.3199999999999998,1.414940009264252,0.237344195454975,0.2416
1.38,1.3617725284709337,0.234298436543716,0.2363
1.44,1.3118532780009833,0.231334288960947,0.23095
1.5,1.2649110640673518,0.228447727098032,0.23365
1.56,1.220703125,0.225635033419235,0.22455
1.6199999999999999,1.1790115710214035,0.222892766918971,0.21905
1.68,1.1396403391446386,0.220217736044328,0.2177
1.74,1.102412579069666,0.217606974055339,0.2168
1.7999999999999998,1.067168401191423,0.215057717999086,0.2161
1.8599999999999999,1.0337629300508437,0.212567389985276,0.21285
1.92,1.0020646164052274,0.210133580173317,0.21205
1.98,0.9719537690662622,0.207754032291820,0.20635
2.04,0.9433212741388229,0.205426630028207,0.20715
2.1,0.9160674745920401,0.203149385560374,0.2027
2.16,0.8901011874414745,0.200920428798669,0.2032
2.2199999999999998,0.8653388394027219,0.198737997855265,0.20175
2.28,0.8417037048387694,0.196600430470142,0.20035
2.34,0.8191252322823096,0.194506156478440,0.198
2.4,0.7975384478627066,0.192453690537603,0.18935
2.46,0.7768834256798705,0.190441626170150,0.1921
2.52,0.7571048166037302,0.188468629657366,0.19295
2.58,0.7381514281867179,0.186533435149901,0.1873
2.6399999999999997,0.719975849396922,0.184634839731579,0.1809
2.6999999999999997,0.7025341147432924,0.182771699220476,0.1806
2.76,0.685785403097602,0.180942924008602,0.17995
2.82,0.6696917671422132,0.179147475730105,0.1831
2.88,0.6542178899056824,0.177384363688243,0.18325
2.94,0.6393308653044142,0.175652642102023,0.1697
3.0,0.625,0.173951406945744,0.17585
3.06,0.611196634218553,0.172279793615809,0.17085
3.12,0.5978939794686244,0.170636974576865,0.167
3.1799999999999997,0.5850669713451179,0.169022156995743,0.1677
3.2399999999999998,0.5726921358238585,0.167434580799916,0.1665
3.3,0.5607474676400142,0.165873516900685,0.16655
3.36,0.549212319507541,0.164338265306719,0.16545
3.42,0.5380673010797444,0.162828153473123,0.1693
3.48,0.5272941866758192,0.161342535052172,0.15885
3.54,0.5168758309074142,0.159880788212267,0.1565
3.5999999999999996,0.5067960914349532,0.158442314521911,0.15775
3.6599999999999997,0.4970397581674672,0.157026537620716,0.15565
3.7199999999999998,0.4875924882936035,0.155632902181091,0.1568
3.78,0.4784407465965987,0.154260872797777,0.1532
3.84,0.4695717505634861,0.152909933044448,0.1525
3.9,0.4609734198496179,0.151579584453902,0.1519
3.96,0.4526343297045739,0.150269345754105,0.1467
4.02,0.44454366800543016,0.148978752030319,0.1496
4.08,0.43669119557879615,0.147707353904515,0.15095
4.14,0.42906720952454375,0.146454716924582,0.14875
4.2,0.4216625092822256,0.145220420715284,0.1412
4.26,0.41446836520622377,0.144004058535888,0.14345
4.32,0.4074764894380263,0.142805236571236,0.1439
4.38,0.40067900888403984,0.141623573419004,0.14285
